country_code;admin_level;id_overall;weight_overall;complete_ind;year_source;retention_period;source_quality
MW;3;3.2.3;0.055555556;1;2013;3;2
NP;2;2.2.5;0.020833333;1;2011;5;4
PH;2;1.1.4;0.033333333;1;2010;10;3
PH;3;2.1.1;0.083333333;1;2012;4.5;4
NP;2;3.2.2;0.055555556;1;2000;20;3
PH;3;1.1.2;0.033333333;1;2010;10;3
ZMB;3;1.1.1;0.033333333;1;2010;10;3
PH;3;1.1.5;0.033333333;1;2010;10;3
PH;3;2.2.4;0.020833333;1;2016;2;3
NP;3;2.2.3;0.020833333;1;2011;5;4
MW;3;3.1.2;0.083333333;1;2016;2;3
PH;2;1.1.5;0.033333333;1;2010;10;3
PH;2;2.2.4;0.020833333;1;2016;2;3
NP;2;2.2.3;0.020833333;1;2011;5;4
MW;2;3.1.2;0.083333333;1;2016;2;3
PH;2;1.1.2;0.033333333;1;2010;10;3
NP;3;3.2.2;0.055555556;1;2000;20;3
ZMB;2;1.1.1;0.033333333;1;2010;10;3
MW;4;2.1.1;0.083333333;1;2011;5;4
ZMB;4;3.2.2;0.055555556;1;2000;20;3
ZMB;2;2.1.1;0.083333333;1;2015;5;3
MW;2;3.2.2;0.055555556;1;2017;;
MW;3;3.2.2;0.055555556;1;2017;;
MW;2;2.2.3;0.020833333;1;2012;5;4
ZMB;3;1.1.5;0.033333333;1;2010;10;3
MW;2;3.2.1;0.055555556;1;2011;3;3
ZMB;3;1.1.2;0.033333333;1;2010;10;3
PH;3;1.1.1;0.033333333;1;2010;10;3
ZMB;2;1.1.2;0.033333333;1;2010;10;3
PH;2;1.1.1;0.033333333;1;2010;10;3
PH;4;3.2.2;0.055555556;1;2000;20;3
ZMB;2;1.1.5;0.033333333;1;2010;10;3
MW;2;2.2.5;0.020833333;1;2011;1;3
NP;2;2.1.1;0.083333333;1;2011;5;4
MW;3;1.1.1;0.033333333;1;2010;10;3
NP;3;2.1.1;0.083333333;1;2011;5;4
MW;2;1.1.1;0.033333333;1;2010;10;3
MW;4;3.2.2;0.055555556;1;2017;;
NP;3;1.1.5;0.033333333;1;2010;10;3
PH;2;3.2.2;0.055555556;1;2000;20;3
NP;3;1.1.2;0.033333333;1;2010;10;3
NP;2;1.1.2;0.033333333;1;2010;10;3
PH;3;3.2.2;0.055555556;1;2000;20;3
NP;2;1.1.5;0.033333333;1;2010;10;3
MW;3;1.1.2;0.033333333;1;2013.5;10;3
MW;3;1.1.5;0.033333333;1;2017;;
PH;3;3.1.2;0.083333333;1;2008;2;4
MW;2;1.1.5;0.033333333;1;2017;;
PH;2;3.1.2;0.083333333;1;2008;2;4
MW;2;1.1.2;0.033333333;1;2013.5;10;3
NP;3;1.1.1;0.033333333;1;2010;10;3
PH;2;1.1.3;0.033333333;1;2010;10;3
MW;2;2.1.1;0.083333333;1;2011.333333;5;3.333333333
ZMB;2;3.2.2;0.055555556;1;2000;20;3
PH;2;3.2.3;0.055555556;1;2013;3;2
MW;4;3.1.2;0.083333333;1;2016;2;3
PH;3;3.2.3;0.055555556;1;2013;3;2
NP;2;1.1.1;0.033333333;1;2010;10;3
NP;4;3.2.2;0.055555556;1;2000;20;3
PH;3;1.1.3;0.033333333;1;2010;10;3
MW;3;2.1.1;0.083333333;1;2011;5;4
ZMB;3;3.2.2;0.055555556;1;2000;20;3
PH;3;1.1.4;0.033333333;1;2010;10;3
MW;4;1.1.2;0.033333333;1;2017;;
PH;2;2.1.1;0.083333333;1;2012;4.6;4
MW;2;3.2.3;0.055555556;1;2011.666667;3;2.666666667
MW;4;1.1.5;0.033333333;1;2017;;
NP;3;2.2.5;0.020833333;1;2011;5;4
