id_level1;inform_level1;weight1;id_level2;inform_level2;weight2;id_level3;inform_level3;weight3;id_overall;weight_overall;admin_level;year;retention_period;source_quality;variable;source_link;country_code;country_name
1;Hazards;0.25;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.025;2;2010;10;3;Earthquake exposure;http://preview.grid.unep.ch/index.php?preview=data&events=earthquakes&evcat=6&lang=eng;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;2;Flood;0.2;1.1.2;0.025;2;2010;10;3;Flood exposure;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;3;Tsunami;0.2;1.1.3;0.025;2;2010;10;3;Tsunami exposure;http://preview.grid.unep.ch/index.php?preview=data&events=tsunamis&evcat=3&lang=eng;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;4;Tropical Cyclone;0.2;1.1.4;0.025;2;2010;10;3;Cyclone exposure;http://preview.grid.unep.ch/index.php?preview=data&events=cyclones&evcat=7&lang=eng;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;5;Drought;0.2;1.1.5;0.025;2;2010;10;3;Drought exposure;http://preview.grid.unep.ch/index.php?preview=data&events=droughts&evcat=4&lang=eng;PH;The Philippines
1;Hazards;0.25;2;Human;0.5;1;Projected Conflict Risk;0.5;1.2.1;0.0625;2;;;;;;PH;The Philippines
1;Hazards;0.25;2;Human;0.5;2;Current Highly Violent Conflict Intensity;0.5;1.2.2;0.0625;2;;;;;;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;2;2016;3;4;Pantawid (4P) beneficiaries;https://data.humdata.org/dataset/philippines-pre-disaster-indicators;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;2;2010;5;4;Concrete/Iron/Aluminium roof;https://data.humdata.org/dataset/philippines-pre-disaster-indicators;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;2;2010;5;4;(Partly) Concrete wall;https://data.humdata.org/dataset/philippines-household-building-wall-by-municipality-2010#;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;2;2012;5;4;Human development Index;https://psa.gov.ph/sites/default/files/HDI%20Tables%2C%20final%2015jan16_0.pdf;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;2;2012;5;4;Poverty incidence;https://psa.gov.ph/content/psa-releases-2012-municipal-and-city-level-poverty-estimates;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;2;Inequality;0.25;2.1.2;0.03125;2;;;;;;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;3;Aid Dependency;0.25;2.1.3;0.03125;2;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;1;Uprooted people;0.5;2.2.1;0.0625;2;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;2;Health Conditions;0.125;2.2.2;0.015625;2;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;3;Children U5;0.125;2.2.3;0.015625;2;;;;;;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;4;Recent Shocks;0.125;2.2.4;0.015625;2;2016;2;3;Recent shocks;https://profiles.510.global/#!/dashboards/5906f54b66307627d5d7f884/priority_index_profile;PH;The Philippines
2;Vulnerability;0.25;2;Vulnerable Groups;0.5;5;Food Security;0.125;2.2.5;0.015625;2;;;;;;PH;The Philippines
3;Coping Capacity;0.25;1;Institutional;0.5;1;DRR;0.5;3.1.1;0.0625;2;;;;;;PH;The Philippines
3;Coping Capacity;0.25;1;Institutional;0.5;2;Governance;0.5;3.1.2;0.0625;2;2008;2;4;Good governance index;http://nap.psa.gov.ph/ggi/default.asp;PH;The Philippines
3;Coping Capacity;0.25;2;Infrastructure;0.5;1;Communication;0.333333333;3.2.1;0.041666667;2;;;;;;PH;The Philippines
3;Coping Capacity;0.25;2;Infrastructure;0.5;2;Physical infrastructure;0.333333333;3.2.2;0.041666667;2;2000;20;3;Travel time to nearest city;http://forobs.jrc.ec.europa.eu/products/gam/download.php;PH;The Philippines
3;Coping Capacity;0.25;2;Infrastructure;0.5;3;Access to health care;0.333333333;3.2.3;0.041666667;2;2013;3;2;Nr. of facilities per 10,000 people;https://data.humdata.org/dataset/philippines-pre-disaster-indicators;PH;The Philippines
0;CODs;0.25;1;Admin-boundaries;0.5;1;Admin-boundaries;1;0.1.1;0.125;2;2016;;;Administrative areas - level 2;https://data.humdata.org/dataset/regional-admin1-boundaries-of-the-philippines-june2016;PH;The Philippines
0;CODs;0.25;2;Population;0.5;1;Population;1;0.2.1;0.125;2;2015;;;Population;http://psa.gov.ph/content/highlights-philippine-population-2015-census-population;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;1;Earthquake;0.2;1.1.1;0.025;3;2010;10;3;Earthquake exposure;http://preview.grid.unep.ch/index.php?preview=data&events=earthquakes&evcat=6&lang=eng;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;2;Flood;0.2;1.1.2;0.025;3;2010;10;3;Flood exposure;http://preview.grid.unep.ch/index.php?preview=data&events=floods&evcat=5&lang=eng;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;3;Tsunami;0.2;1.1.3;0.025;3;2010;10;3;Tsunami exposure;http://preview.grid.unep.ch/index.php?preview=data&events=tsunamis&evcat=3&lang=eng;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;4;Tropical Cyclone;0.2;1.1.4;0.025;3;2010;10;3;Cyclone exposure;http://preview.grid.unep.ch/index.php?preview=data&events=cyclones&evcat=7&lang=eng;PH;The Philippines
1;Hazards;0.25;1;Natural;0.5;5;Drought;0.2;1.1.5;0.025;3;2010;10;3;Drought exposure;http://preview.grid.unep.ch/index.php?preview=data&events=droughts&evcat=4&lang=eng;PH;The Philippines
1;Hazards;0.25;2;Human;0.5;1;Projected Conflict Risk;0.5;1.2.1;0.0625;3;;;;;;PH;The Philippines
1;Hazards;0.25;2;Human;0.5;2;Current Highly Violent Conflict Intensity;0.5;1.2.2;0.0625;3;;;;;;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;3;2016;3;4;Pantawid (4P) beneficiaries;https://data.humdata.org/dataset/philippines-pre-disaster-indicators;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;3;2010;5;4;Concrete/Iron/Aluminium roof;https://data.humdata.org/dataset/philippines-pre-disaster-indicators;PH;The Philippines
2;Vulnerability;0.25;1;Socio-Economic Vulnerability;0.5;1;Development & Deprivation;0.5;2.1.1;0.0625;3;2010;5;4;(Partly) Concrete wall;https://data.humdata.org/dataset/philippines-household-building-wall-by-municipality-2010#;PH;The Philippines
